Location,Period,Indicator,Dim1,Tooltip,FactValueForMeasure,FactValueString
United Kingdom of Great Britain and Northern Ireland,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,101.8,101.8,101.8
United Kingdom of Great Britain and Northern Ireland,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,62.91,62.91,62.91
United Kingdom of Great Britain and Northern Ireland,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,85.67,85.67,85.67
United Kingdom of Great Britain and Northern Ireland,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,105.9,105.9,105.9
United Kingdom of Great Britain and Northern Ireland,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,65.36,65.36,65.36
United Kingdom of Great Britain and Northern Ireland,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,86.82,86.82,86.82
United Kingdom of Great Britain and Northern Ireland,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,107.9,107.9,107.9
United Kingdom of Great Britain and Northern Ireland,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,65.58,65.58,65.58
United Kingdom of Great Britain and Northern Ireland,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,87.91,87.91,87.91
United Kingdom of Great Britain and Northern Ireland,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,109.1,109.1,109.1
United Kingdom of Great Britain and Northern Ireland,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,66.6,66.6,66.6
United Kingdom of Great Britain and Northern Ireland,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,87.98,87.98,87.98
United Kingdom of Great Britain and Northern Ireland,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,108.3,108.3,108.3
United Kingdom of Great Britain and Northern Ireland,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,67.52,67.52,67.52
United Republic of Tanzania,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,260.7,260.7,260.7
United Republic of Tanzania,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,299.3,299.3,299.3
United Republic of Tanzania,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,222.2,222.2,222.2
United Republic of Tanzania,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,269.7,269.7,269.7
United Republic of Tanzania,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,311.3,311.3,311.3
United Republic of Tanzania,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,228.1,228.1,228.1
United Republic of Tanzania,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,281.9,281.9,281.9
United Republic of Tanzania,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,324.3,324.3,324.3
United Republic of Tanzania,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,239.5,239.5,239.5
United Republic of Tanzania,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,298.1,298.1,298.1
United Republic of Tanzania,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,339.4,339.4,339.4
United Republic of Tanzania,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,257.1,257.1,257.1
United Republic of Tanzania,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,325.4,325.4,325.4
United Republic of Tanzania,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,363.6,363.6,363.6
United Republic of Tanzania,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,287.9,287.9,287.9
United Republic of Tanzania,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,328.1,328.1,328.1
United Republic of Tanzania,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,361,362,361
United Republic of Tanzania,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,295.5,295.5,295.5
United Republic of Tanzania,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,342.5,342.5,342.5
United Republic of Tanzania,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,367.2,367.2,367.2
United Republic of Tanzania,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,319.5,319.5,319.5
United Republic of Tanzania,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,356.8,356.8,356.8
United Republic of Tanzania,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,380.4,380.4,380.4
United Republic of Tanzania,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,334,335,334
United Republic of Tanzania,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,366.9,366.9,366.9
United Republic of Tanzania,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,391.8,391.8,391.8
United Republic of Tanzania,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,343.8,343.8,343.8
United Republic of Tanzania,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,400.7,400.7,400.7
United Republic of Tanzania,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,424.5,424.5,424.5
United Republic of Tanzania,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,378.8,378.8,378.8
United Republic of Tanzania,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,427.4,427.4,427.4
United Republic of Tanzania,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,451.1,451.1,451.1
United Republic of Tanzania,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,405.7,405.7,405.7
United Republic of Tanzania,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,440.9,440.9,440.9
United Republic of Tanzania,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,466.7,466.7,466.7
United Republic of Tanzania,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,417.4,417.4,417.4
United Republic of Tanzania,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,447.9,447.9,447.9
United Republic of Tanzania,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,476.4,476.4,476.4
United Republic of Tanzania,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,421.6,421.6,421.6
United Republic of Tanzania,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,452.8,452.8,452.8
United Republic of Tanzania,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,484.1,484.1,484.1
United Republic of Tanzania,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,423.5,423.5,423.5
United Republic of Tanzania,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,455.9,455.9,455.9
United Republic of Tanzania,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,489.8,489.8,489.8
United Republic of Tanzania,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,423.9,423.9,423.9
United Republic of Tanzania,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,457.9,457.9,457.9
United Republic of Tanzania,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,493.8,493.8,493.8
United Republic of Tanzania,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,423.6,423.6,423.6
United Republic of Tanzania,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,458.4,458.4,458.4
United Republic of Tanzania,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,496,496,496
United Republic of Tanzania,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,422.2,422.2,422.2
United States of America,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,114.1,114.1,114.1
United States of America,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,141.7,141.7,141.7
United States of America,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,85.59,85.59,85.59
United States of America,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,110.4,110.4,110.4
United States of America,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,137.3,137.3,137.3
United States of America,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,82.73,82.73,82.73
United States of America,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,106.3,106.3,106.3
United States of America,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,131.2,131.2,131.2
United States of America,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,80.75,80.75,80.75
United States of America,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,105.4,105.4,105.4
United States of America,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,130.8,130.8,130.8
United States of America,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,79.5,79.5,79.5
United States of America,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,105.3,105.3,105.3
United States of America,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,130.9,130.9,130.9
United States of America,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,79.05,79.05,79.05
United States of America,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,105.7,105.7,105.7
United States of America,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,131.7,131.7,131.7
United States of America,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,79.14,79.14,79.14
United States of America,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,105.2,105.2,105.2
United States of America,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,131.6,131.6,131.6
United States of America,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,78.26,78.26,78.26
United States of America,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,107.8,107.8,107.8
United States of America,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,134,135,134
United States of America,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,80.17,80.17,80.17
United States of America,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,108.5,108.5,108.5
United States of America,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,136.7,136.7,136.7
United States of America,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,79.72,79.72,79.72
United States of America,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,109.9,109.9,109.9
United States of America,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,138.6,138.6,138.6
United States of America,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,80.51,80.51,80.51
United States of America,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,112.5,112.5,112.5
United States of America,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,142,142,142
United States of America,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,82.41,82.41,82.41
United States of America,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,112.3,112.3,112.3
United States of America,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,141.8,141.8,141.8
United States of America,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,82.25,82.25,82.25
United States of America,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,111.3,111.3,111.3
United States of America,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,140.3,140.3,140.3
United States of America,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,81.83,81.83,81.83
United States of America,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,113.8,113.8,113.8
United States of America,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,143.5,143.5,143.5
United States of America,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,83.67,83.67,83.67
United States of America,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,114.9,114.9,114.9
United States of America,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,145.3,145.3,145.3
United States of America,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,84.11,84.11,84.11
United States of America,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,115.8,115.8,115.8
United States of America,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,146.1,146.1,146.1
United States of America,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,85.27,85.27,85.27
United States of America,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,114.2,114.2,114.2
United States of America,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,144.5,144.5,144.5
United States of America,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,83.67,83.67,83.67
Uruguay,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,113.9,113.9,113.9
Uruguay,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,148,149,148
Uruguay,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,79.21,79.21,79.21
Uruguay,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,114.2,114.2,114.2
Uruguay,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,149.2,149.2,149.2
Uruguay,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,79.64,79.64,79.64
Uruguay,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,114.2,114.2,114.2
Uruguay,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,150,150,150
Uruguay,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,78.75,78.75,78.75
Uruguay,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,117,117,117
Uruguay,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,155.3,155.3,155.3
Uruguay,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,79.14,79.14,79.14
Uruguay,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,118.1,118.1,118.1
Uruguay,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,155.9,155.9,155.9
Uruguay,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,80.51,80.51,80.51
Uruguay,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,117.4,117.4,117.4
Uruguay,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,154.7,154.7,154.7
Uruguay,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,80.59,80.59,80.59
Uruguay,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,117.9,117.9,117.9
Uruguay,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,155.8,155.8,155.8
Uruguay,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,80.48,80.48,80.48
Uruguay,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,118.2,118.2,118.2
Uruguay,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,156.6,156.6,156.6
Uruguay,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,80.38,80.38,80.38
Uruguay,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,118.7,118.7,118.7
Uruguay,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,155.7,155.7,155.7
Uruguay,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,82.39,82.39,82.39
Uruguay,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,124.2,124.2,124.2
Uruguay,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,164.6,164.6,164.6
Uruguay,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,84.64,84.64,84.64
Uruguay,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,118.1,118.1,118.1
Uruguay,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,156.9,156.9,156.9
Uruguay,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,80.34,80.34,80.34
Uruguay,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,124.7,124.7,124.7
Uruguay,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,163.4,163.4,163.4
Uruguay,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,87.05,87.05,87.05
Uruguay,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,125,125,125
Uruguay,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,163.8,163.8,163.8
Uruguay,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,87.53,87.53,87.53
Uruguay,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,125.4,125.4,125.4
Uruguay,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,164.7,164.7,164.7
Uruguay,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,87.36,87.36,87.36
Uruguay,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,128.7,128.7,128.7
Uruguay,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,170.8,170.8,170.8
Uruguay,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,87.57,87.57,87.57
Uruguay,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,127.1,127.1,127.1
Uruguay,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,168.2,168.2,168.2
Uruguay,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,87.26,87.26,87.26
Uruguay,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,134.2,134.2,134.2
Uruguay,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,180.1,180.1,180.1
Uruguay,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,89.32,89.32,89.32
Uzbekistan,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,130.7,130.7,130.7
Uzbekistan,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,166.8,166.8,166.8
Uzbekistan,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,95.82,95.82,95.82
Uzbekistan,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,133.5,133.5,133.5
Uzbekistan,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,170.1,170.1,170.1
Uzbekistan,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,98.1,98.1,98.1
Uzbekistan,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,138.9,138.9,138.9
Uzbekistan,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,176,177,176
Uzbekistan,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,101,102,101
Uzbekistan,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,141,141,141
Uzbekistan,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,178.8,178.8,178.8
Uzbekistan,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,104.2,104.2,104.2
Uzbekistan,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,144.8,144.8,144.8
Uzbekistan,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,183.7,183.7,183.7
Uzbekistan,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,106.8,106.8,106.8
Uzbekistan,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,144.4,144.4,144.4
Uzbekistan,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,182.3,182.3,182.3
Uzbekistan,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,107.3,107.3,107.3
Uzbekistan,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,144.9,144.9,144.9
Uzbekistan,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,181,182,181
Uzbekistan,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,108.5,108.5,108.5
Uzbekistan,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,149.1,149.1,149.1
Uzbekistan,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,186.8,186.8,186.8
Uzbekistan,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,111.9,111.9,111.9
Uzbekistan,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,156.8,156.8,156.8
Uzbekistan,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,196.7,196.7,196.7
Uzbekistan,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,117.4,117.4,117.4
Uzbekistan,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,165.4,165.4,165.4
Uzbekistan,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,207.6,207.6,207.6
Uzbekistan,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,123.6,123.6,123.6
Uzbekistan,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,174.1,174.1,174.1
Uzbekistan,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,218.7,218.7,218.7
Uzbekistan,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,129,130,129
Uzbekistan,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,183.2,183.2,183.2
Uzbekistan,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,230.1,230.1,230.1
Uzbekistan,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,136.6,136.6,136.6
Uzbekistan,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,174.5,174.5,174.5
Uzbekistan,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,218.1,218.1,218.1
Uzbekistan,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,131.4,131.4,131.4
Uzbekistan,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,173.1,173.1,173.1
Uzbekistan,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,217,217,217
Uzbekistan,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,129.3,129.3,129.3
Uzbekistan,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,176.3,176.3,176.3
Uzbekistan,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,220.1,220.1,220.1
Uzbekistan,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,132.2,132.2,132.2
Uzbekistan,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,176.6,176.6,176.6
Uzbekistan,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,222.8,222.8,222.8
Uzbekistan,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,129.7,129.7,129.7
Uzbekistan,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,182.8,182.8,182.8
Uzbekistan,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,230,230,230
Uzbekistan,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,134.6,134.6,134.6
Vanuatu,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,129.4,129.4,129.4
Vanuatu,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,154,155,154
Vanuatu,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,103.8,103.8,103.8
Vanuatu,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,131.6,131.6,131.6
Vanuatu,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,157.2,157.2,157.2
Vanuatu,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,105,106,105
Vanuatu,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,135.9,135.9,135.9
Vanuatu,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,161.8,161.8,161.8
Vanuatu,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,109.8,109.8,109.8
Vanuatu,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,136.6,136.6,136.6
Vanuatu,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,161.9,161.9,161.9
Vanuatu,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,110.9,110.9,110.9
Vanuatu,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,139.3,139.3,139.3
Vanuatu,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,164.5,164.5,164.5
Vanuatu,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,113.6,113.6,113.6
Vanuatu,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,142.4,142.4,142.4
Vanuatu,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,167.4,167.4,167.4
Vanuatu,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,116.8,116.8,116.8
Vanuatu,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,145.7,145.7,145.7
Vanuatu,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,170.4,170.4,170.4
Vanuatu,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,120.3,120.3,120.3
Vanuatu,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,149.2,149.2,149.2
Vanuatu,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,173.7,173.7,173.7
Vanuatu,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,123.9,123.9,123.9
Vanuatu,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,152.8,152.8,152.8
Vanuatu,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,176.9,176.9,176.9
Vanuatu,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,127.6,127.6,127.6
